Change Lane,Accelerate,Decelerate,Do no thing
0.0,-10.0,-30.0,-10.0
0.0,-30.0,-105.0,-20.0
-5.0,-15.0,-60.0,-60.0
-5.0,-30.0,-70.0,-30.0
-5.0,-45.0,-50.0,-80.0
21.0,646.0,607.0,1242.0
-1240.0,-660.0,-600.0,-7.0
