Change Lane,Accelerate,Decelerate,Do no thing
0.0,-25.0,-50.0,-25.0
0.0,-35.0,-145.0,-35.0
-10.0,-30.0,-115.0,-115.0
-10.0,-30.0,-135.0,-90.0
-5.0,-80.0,-130.0,-160.0
43.0,1152.0,1104.0,2359.0
-2381.0,-1231.0,-1176.0,-14.0
