Change Lane,Accelerate,Decelerate,Do no thing
0.0,-10.0,-30.0,-10.0
0.0,-30.0,-100.0,-20.0
-5.0,-15.0,-55.0,-50.0
-5.0,-30.0,-70.0,-30.0
-5.0,-45.0,-50.0,-80.0
21.0,635.0,600.0,1217.0
-1215.0,-647.0,-585.0,-7.0
