Change Lane,Accelerate,Decelerate,Do no thing
0.0,-10.0,-25.0,-10.0
0.0,-25.0,-75.0,-15.0
-5.0,-5.0,-20.0,-20.0
-5.0,-30.0,-50.0,0.0
-5.0,-35.0,-35.0,-40.0
16.0,401.0,365.0,758.0
-751.0,-410.0,-383.0,-5.0
