Change Lane,Accelerate,Decelerate,Do no thing
0.0,-20.0,-40.0,-20.0
0.0,-40.0,-140.0,-30.0
-10.0,-30.0,-100.0,-100.0
-10.0,-30.0,-125.0,-70.0
-5.0,-75.0,-110.0,-145.0
39.0,1051.0,1006.0,2106.0
-2088.0,-1081.0,-1014.0,-12.0
