Change Lane,Accelerate,Decelerate,Do no thing
0.0,-25.0,-45.0,-25.0
0.0,-40.0,-145.0,-35.0
-10.0,-30.0,-110.0,-120.0
-10.0,-30.0,-130.0,-85.0
-5.0,-80.0,-120.0,-150.0
42.0,1128.0,1086.0,2275.0
-2313.0,-1186.0,-1127.0,-13.0
