Change Lane,Accelerate,Decelerate,Do no thing
0.0,-5.0,-20.0,-10.0
0.0,-15.0,-50.0,-15.0
-5.0,-5.0,-15.0,-10.0
-5.0,-5.0,-35.0,0.0
-5.0,-35.0,-30.0,-25.0
13.0,283.0,259.0,526.0
-516.0,-254.0,-267.0,-1.0
