Change Lane,Accelerate,Decelerate,Do no thing
0.0,-15.0,-30.0,-10.0
0.0,-30.0,-105.0,-20.0
-5.0,-15.0,-60.0,-70.0
-5.0,-25.0,-70.0,-30.0
-5.0,-45.0,-55.0,-80.0
23.0,662.0,625.0,1280.0
-1299.0,-685.0,-635.0,-7.0
