Change Lane,Accelerate,Decelerate,Do no thing
0.0,-10.0,-25.0,-10.0
0.0,-30.0,-90.0,-15.0
-5.0,-10.0,-40.0,-30.0
-5.0,-30.0,-55.0,-15.0
-5.0,-40.0,-40.0,-50.0
17.0,474.0,440.0,902.0
-882.0,-492.0,-457.0,-6.0
