Change Lane,Accelerate,Decelerate,Do no thing
0.0,-15.0,-35.0,-15.0
0.0,-35.0,-105.0,-25.0
-10.0,-20.0,-85.0,-90.0
-5.0,-25.0,-90.0,-45.0
-5.0,-50.0,-75.0,-105.0
25.0,764.0,727.0,1533.0
-1554.0,-808.0,-748.0,-9.0
