Change Lane,Accelerate,Decelerate,Do no thing
0.0,-10.0,-25.0,-10.0
0.0,-30.0,-80.0,-15.0
-5.0,-5.0,-20.0,-20.0
-5.0,-30.0,-50.0,-5.0
-5.0,-40.0,-35.0,-40.0
16.0,409.0,372.0,782.0
-776.0,-426.0,-399.0,-5.0
