Change Lane,Accelerate,Decelerate,Do no thing
0.0,-25.0,-40.0,-25.0
0.0,-40.0,-135.0,-30.0
-10.0,-30.0,-100.0,-115.0
-10.0,-30.0,-125.0,-80.0
-5.0,-75.0,-115.0,-145.0
41.0,1075.0,1040.0,2169.0
-2175.0,-1119.0,-1057.0,-12.0
