Change Lane,Accelerate,Decelerate,Do no thing
0.0,-15.0,-35.0,-15.0
0.0,-35.0,-105.0,-25.0
-10.0,-25.0,-85.0,-90.0
-5.0,-25.0,-90.0,-45.0
-5.0,-60.0,-85.0,-110.0
27.0,822.0,770.0,1626.0
-1637.0,-858.0,-810.0,-10.0
